<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.09.25	07:30:00	3734.27	3740.75	3733.76	3739.70	997	0	6
2025.09.25	07:45:00	3739.72	3739.99	3737.26	3738.09	693	0	16
2025.09.25	08:00:00	3738.12	3738.49	3734.54	3735.52	950	0	13
2025.09.25	08:15:00	3735.52	3736.75	3734.15	3736.43	881	0	15
2025.09.25	08:30:00	3736.41	3741.25	3735.63	3737.80	1069	0	5
2025.09.25	08:45:00	3737.74	3740.41	3736.26	3738.70	1043	0	15
2025.09.25	09:00:00	3738.85	3747.00	3737.85	3745.90	1193	0	5
2025.09.25	09:15:00	3745.87	3748.37	3744.64	3745.13	1167	0	7
2025.09.25	09:30:00	3744.96	3746.17	3740.54	3742.11	1053	0	5
2025.09.25	09:45:00	3742.08	3743.81	3739.97	3740.99	1050	0	9
2025.09.25	10:00:00	3741.22	3744.14	3740.03	3742.93	1102	0	11
2025.09.25	10:15:00	3742.81	3746.07	3742.47	3744.80	1079	0	5
2025.09.25	10:30:00	3744.15	3752.28	3743.09	3751.37	1319	0	5
2025.09.25	10:45:00	3751.36	3754.89	3749.61	3752.17	1391	0	5
2025.09.25	11:00:00	3752.10	3759.47	3751.17	3757.51	1383	0	5
2025.09.25	11:15:00	3757.49	3761.62	3756.30	3757.68	1354	0	5
2025.09.25	11:30:00	3757.69	3757.69	3751.48	3753.94	1266	0	8
2025.09.25	11:45:00	3753.93	3757.42	3751.99	3756.38	1088	0	7
2025.09.25	12:00:00	3756.26	3757.13	3753.99	3756.71	1074	0	15
2025.09.25	12:15:00	3756.73	3756.91	3750.39	3750.80	1132	0	15
2025.09.25	12:30:00	3750.78	3756.30	3750.66	3756.12	1106	0	15
2025.09.25	12:45:00	3756.17	3761.00	3755.26	3757.01	1230	0	5
2025.09.25	13:00:00	3757.03	3758.21	3755.70	3756.55	1043	0	11
2025.09.25	13:15:00	3756.50	3759.00	3755.77	3756.97	1048	0	14
2025.09.25	13:30:00	3757.02	3758.17	3755.83	3757.09	1064	0	14
2025.09.25	13:45:00	3757.10	3760.78	3755.71	3757.19	1124	0	6
2025.09.25	14:00:00	3757.21	3757.63	3741.15	3743.59	1485	0	6
2025.09.25	14:15:00	3743.59	3750.61	3743.19	3749.67	1300	0	7
2025.09.25	14:30:00	3749.77	3752.20	3748.82	3751.08	1177	0	10
2025.09.25	14:45:00	3751.13	3754.06	3750.19	3752.98	1117	0	11
2025.09.25	15:00:00	3752.55	3753.79	3749.49	3752.48	1200	0	12
2025.09.25	15:15:00	3752.30	3755.90	3751.64	3754.27	1294	0	14
2025.09.25	15:30:00	3750.13	3753.07	3735.29	3742.08	1663	0	5
2025.09.25	15:45:00	3741.78	3742.58	3730.57	3738.76	1595	0	7
2025.09.25	16:00:00	3738.85	3741.28	3733.34	3736.76	1569	0	10
2025.09.25	16:15:00	3736.79	3745.40	3735.20	3742.04	1451	0	11
2025.09.25	16:30:00	3742.11	3743.10	3724.69	3726.27	1599	0	5
2025.09.25	16:45:00	3726.33	3733.97	3721.97	3733.79	1535	0	6
2025.09.25	17:00:00	3734.03	3734.83	3724.62	3729.71	1589	0	12
2025.09.25	17:15:00	3729.72	3736.46	3726.03	3733.55	1554	0	8
2025.09.25	17:30:00	3733.32	3733.92	3724.30	3727.80	1439	0	15
2025.09.25	17:45:00	3727.74	3733.33	3723.58	3731.45	1470	0	13
2025.09.25	18:00:00	3731.58	3735.29	3728.10	3734.87	1396	0	6
2025.09.25	18:15:00	3734.92	3738.68	3730.51	3730.54	1398	0	12
2025.09.25	18:30:00	3730.46	3736.70	3729.23	3735.90	1340	0	5
