date,time,open,high,low,close,tickvol,volume,spread,timestamp,ema20,ema50,atr,vwap
2025.10.14,02:41:00,24729.5,24732.7,24726.9,24732.7,99,0,100,2025-10-14 02:41:00,24736.605255496488,24739.364559291884,4.378571428571116,24672.730734212677
2025.10.14,02:42:00,24732.4,24732.8,24726.7,24728.7,90,0,100,2025-10-14 02:42:00,24735.85237402063,24738.946341280436,4.628571428571116,24672.743513491576
2025.10.14,02:43:00,24728.7,24729.2,24723.2,24724.0,111,0,100,2025-10-14 02:43:00,24734.723576494856,24738.36021024983,4.842857142856831,24672.757943406134
2025.10.14,02:44:00,24723.9,24729.7,24722.7,24728.2,122,0,100,2025-10-14 02:44:00,24734.102283495344,24737.96177063219,5.128571428571116,24672.775093114946
2025.10.14,02:45:00,24728.0,24728.0,24721.5,24722.0,163,0,100,2025-10-14 02:45:00,24732.949685067215,24737.335818842694,5.442857142856935,24672.795428417918
2025.10.14,02:46:00,24721.7,24725.5,24721.3,24724.8,135,0,100,2025-10-14 02:46:00,24732.173524584625,24736.844218103764,5.299999999999792,24672.813215506343
2025.10.14,02:47:00,24724.9,24727.2,24723.7,24727.2,136,0,100,2025-10-14 02:47:00,24731.699855576568,24736.466013472244,5.321428571428312,24672.83194871834
2025.10.14,02:48:00,24727.0,24727.5,24725.5,24726.3,96,0,100,2025-10-14 02:48:00,24731.185583616898,24736.067346277254,5.042857142857039,24672.844945623965
2025.10.14,02:49:00,24726.4,24730.0,24726.2,24730.0,128,0,100,2025-10-14 02:49:00,24731.07267089148,24735.829411129125,4.964285714285454,24672.863463801976
2025.10.14,02:50:00,24729.9,24732.7,24728.5,24732.0,182,0,100,2025-10-14 02:50:00,24731.160987949435,24735.679238143668,4.628571428571377,24672.890694632442
2025.10.14,02:51:00,24731.9,24732.3,24728.8,24730.9,129,0,100,2025-10-14 02:51:00,24731.13613195425,24735.491817039998,4.607142857142857,24672.909621522915
2025.10.14,02:52:00,24731.0,24733.5,24730.0,24730.0,138,0,100,2025-10-14 02:52:00,24731.027928910986,24735.27645166588,4.664285714285662,24672.92954120229
2025.10.14,02:53:00,24729.7,24732.8,24728.5,24732.5,93,0,100,2025-10-14 02:53:00,24731.168126157558,24735.167571208396,4.61428571428561,24672.943545202917
2025.10.14,02:54:00,24732.5,24733.5,24731.7,24732.2,103,0,100,2025-10-14 02:54:00,24731.26639985684,24735.05119586689,4.457142857142701,24672.958969239946
2025.10.14,02:55:00,24732.0,24733.3,24731.0,24732.2,107,0,100,2025-10-14 02:55:00,24731.35531415619,24734.939384264268,4.207142857142701,24672.97498376767
2025.10.14,02:56:00,24732.3,24733.7,24731.5,24732.4,128,0,100,2025-10-14 02:56:00,24731.454808046077,24734.839800567628,3.9285714285714284,24672.994194618925
2025.10.14,02:57:00,24732.7,24733.8,24731.5,24733.8,104,0,100,2025-10-14 02:57:00,24731.678159660736,24734.799024074782,3.664285714285662,24673.01016192523
2025.10.14,02:58:00,24733.7,24734.4,24731.2,24731.5,100,0,100,2025-10-14 02:58:00,24731.661192073996,24734.669650581654,3.392857142857143,24673.024926605533
2025.10.14,02:59:00,24731.4,24735.3,24731.4,24734.2,132,0,100,2025-10-14 02:59:00,24731.902983305044,24734.651232911787,3.192857142856935,24673.045303939907
2025.10.14,03:00:00,24733.5,24735.0,24726.8,24732.3,426,0,100,2025-10-14 03:00:00,24731.94079441885,24734.55902769956,3.478571428571221,24673.108934346685
2025.10.14,03:01:00,24732.8,24735.0,24728.3,24734.0,305,0,100,2025-10-14 03:01:00,24732.136909236106,24734.537105044677,3.7071428571427014,24673.1557134581
2025.10.14,03:02:00,24733.5,24735.9,24732.9,24733.3,262,0,100,2025-10-14 03:02:00,24732.247679785047,24734.488591121357,3.7785714285712726,24673.195378481247
2025.10.14,03:03:00,24733.2,24740.8,24730.8,24739.8,247,0,100,2025-10-14 03:03:00,24732.966948376947,24734.69688166562,4.221428571428468,24673.236763525772
2025.10.14,03:04:00,24740.0,24748.7,24738.8,24747.5,306,0,100,2025-10-14 03:04:00,24734.351048531524,24735.198964737556,4.628571428571377,24673.293885502426
2025.10.14,03:05:00,24747.4,24753.3,24746.9,24752.2,279,0,100,2025-10-14 03:05:00,24736.050948671378,24735.86567200275,4.835714285714078,24673.349184635175
2025.10.14,03:06:00,24752.0,24757.9,24749.9,24755.5,202,0,100,2025-10-14 03:06:00,24737.903239274106,24736.6356456497,5.15714285714265,24673.390847238057
2025.10.14,03:07:00,24755.3,24760.9,24754.2,24760.5,288,0,100,2025-10-14 03:07:00,24740.055311724194,24737.571502683048,5.328571428571324,24673.453787061524
2025.10.14,03:08:00,24760.8,24761.8,24753.7,24760.5,299,0,100,2025-10-14 03:08:00,24742.00242489332,24738.470659440576,5.778571428571273,24673.519034678477
2025.10.14,03:09:00,24760.7,24764.4,24758.2,24759.7,280,0,100,2025-10-14 03:09:00,24743.68790823681,24739.30318259977,6.057142857142805,24673.579486338007
2025.10.14,03:10:00,24759.7,24764.3,24757.2,24757.9,259,0,100,2025-10-14 03:10:00,24745.041440785688,24740.032469556645,6.40714285714265,24673.634161509348
2025.10.14,03:11:00,24758.3,24759.4,24754.8,24757.4,251,0,100,2025-10-14 03:11:00,24746.218446425144,24740.713549181874,6.571428571428571,24673.686766262264
2025.10.14,03:12:00,24756.8,24759.7,24752.0,24759.0,253,0,100,2025-10-14 03:12:00,24747.435737241798,24741.430664900232,6.892857142857143,24673.740735517687
2025.10.14,03:13:00,24759.3,24769.7,24759.3,24769.5,209,0,100,2025-10-14 03:13:00,24749.53709559972,24742.53142313944,7.378571428571637,24673.790751602548
2025.10.14,03:14:00,24769.8,24772.7,24764.5,24766.2,239,0,100,2025-10-14 03:14:00,24751.12403887594,24743.459602624167,7.378571428571637,24673.845913173354
2025.10.14,03:15:00,24766.5,24780.5,24764.8,24779.8,259,0,100,2025-10-14 03:15:00,24753.855082792517,24744.884716246746,8.02142857142878,24673.914408338598
2025.10.14,03:16:00,24779.8,24786.7,24778.2,24786.3,320,0,100,2025-10-14 03:16:00,24756.945074907515,24746.508845021384,8.414285714285922,24674.00410087714
2025.10.14,03:17:00,24789.2,24796.8,24789.0,24793.3,337,0,100,2025-10-14 03:17:00,24760.407448725848,24748.343792275446,8.450000000000207,24674.104282083234
2025.10.14,03:18:00,24793.0,24795.9,24789.2,24795.3,278,0,100,2025-10-14 03:18:00,24763.730548847197,24750.18521218621,8.221428571428728,24674.188182121532
2025.10.14,03:19:00,24795.0,24797.3,24792.8,24794.2,270,0,100,2025-10-14 03:19:00,24766.632401337938,24751.911282296558,8.085714285714598,24674.26881756286
2025.10.14,03:20:00,24794.7,24801.3,24793.2,24800.4,276,0,100,2025-10-14 03:20:00,24769.848363115278,24753.81280063787,8.092857142857351,24674.355388387663
2025.10.14,03:21:00,24800.8,24804.3,24799.0,24803.0,252,0,100,2025-10-14 03:21:00,24773.005661866206,24755.741710416776,7.992857142857247,24674.435955921825
2025.10.14,03:22:00,24803.3,24808.3,24802.5,24806.3,262,0,100,2025-10-14 03:22:00,24776.17655121228,24757.72438843965,7.828571428571585,24674.5217609863
2025.10.14,03:23:00,24806.5,24809.3,24800.9,24804.0,246,0,100,2025-10-14 03:23:00,24778.82640347778,24759.53911830476,7.985714285714233,24674.600820087173
