time,symbol,signal,fvg_zone,liquidity_grab,order_block
2025-09-19 21:41:30,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:41:37,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:41:42,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:41:47,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:41:53,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:41:58,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:03,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:08,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:14,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:18,GBPUSD,buy,1.34686,1.3467099999999999,1.34716
2025-09-19 21:42:23,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:29,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:34,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:39,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:44,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:49,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:54,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:42:59,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:04,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:09,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:14,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:15,GBPUSD,buy,1.34687,1.34672,1.34717
2025-09-19 21:43:20,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:25,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:30,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:35,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:40,GBPUSD,buy,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34674), np.float64(1.34706))"
2025-09-19 21:43:45,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:43:50,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:43:55,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:44:00,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:44:05,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:44:10,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
2025-09-19 21:44:15,GBPUSD,sell,"(np.float64(1.34679), np.float64(1.34689))",,"(np.float64(1.34747), np.float64(1.34816))"
